,Time,Bond,Side,Notional,Counterparty,MidPrice,QuotedPrice,Competitors,Traded,NextMidPrice
0,25000,Bond_2,Offer,10000000,Ctpy_0,124.009999999999,124.249999999999,1,0,124.239999999999
1,25001,Bond_0,Bid,1000,Ctpy_1,98.070000000001,98.060000000001,1,1,98.080000000001
2,25002,Bond_1,Offer,1000,Ctpy_1,170.299999999999,170.399999999999,1,0,170.639999999999
3,25003,Bond_0,Bid,20000,Ctpy_0,98.0000000000011,97.9800000000011,4,1,97.940000000001
4,25004,Bond_1,Offer,1000,Ctpy_3,171.119999999999,171.159999999999,2,1,171.459999999999
5,25005,Bond_2,Offer,1000,Ctpy_1,124.279999999999,124.289999999999,3,1,124.449999999999
6,25006,Bond_2,Offer,1000,Ctpy_1,124.449999999999,124.459999999999,2,1,124.319999999999
7,25007,Bond_0,Offer,1000,Ctpy_0,97.890000000001,97.910000000001,3,0,97.920000000001
8,25008,Bond_2,Bid,1000,Ctpy_1,124.319999999999,124.289999999999,3,1,124.319999999999
9,25009,Bond_1,Offer,1000,Ctpy_1,172.139999999999,172.239999999999,3,0,172.099999999999
10,25010,Bond_0,Bid,10000000,Ctpy_1,97.850000000001,97.840000000001,2,1,97.850000000001
11,25011,Bond_0,Offer,1000,Ctpy_3,97.850000000001,97.900000000001,2,0,97.830000000001
12,25012,Bond_2,Bid,1000,Ctpy_3,123.979999999999,123.939999999999,2,1,124.109999999999
13,25013,Bond_0,Bid,1000,Ctpy_1,97.7600000000011,97.7400000000011,4,1,97.6600000000011
14,25014,Bond_0,Offer,1000,Ctpy_3,97.6600000000011,97.6600000000011,2,1,97.4800000000011
15,25015,Bond_0,Offer,1000,Ctpy_3,97.4800000000011,97.4900000000011,3,1,97.300000000001
16,25016,Bond_0,Bid,1000,Ctpy_3,97.300000000001,97.300000000001,2,1,97.190000000001
17,25017,Bond_0,Bid,1000,Ctpy_3,97.190000000001,97.130000000001,3,0,97.1400000000011
18,25018,Bond_0,Bid,1000,Ctpy_1,97.1400000000011,97.080000000001,3,0,97.210000000001
19,25019,Bond_1,Bid,1000,Ctpy_1,172.169999999999,172.119999999999,4,1,172.089999999999
20,25020,Bond_0,Offer,10000000,Ctpy_3,97.200000000001,97.210000000001,4,1,97.240000000001
21,25021,Bond_1,Bid,1510000,Ctpy_0,171.849999999999,171.729999999999,4,0,171.719999999999
22,25022,Bond_1,Bid,1000,Ctpy_3,171.719999999999,171.659999999999,4,1,171.469999999999
23,25023,Bond_0,Bid,1000,Ctpy_0,97.180000000001,97.150000000001,4,0,97.170000000001
24,25024,Bond_0,Bid,1000,Ctpy_1,97.170000000001,97.150000000001,2,0,97.270000000001
25,25025,Bond_2,Bid,1000,Ctpy_3,124.319999999999,123.969999999999,4,0,124.289999999999
26,25026,Bond_2,Bid,1000,Ctpy_0,124.289999999999,124.279999999999,1,1,124.239999999999
27,25027,Bond_1,Offer,1000,Ctpy_3,172.059999999999,172.219999999999,2,0,172.209999999999
28,25028,Bond_2,Offer,1000,Ctpy_1,124.169999999999,124.219999999999,4,0,124.239999999999
29,25029,Bond_2,Offer,1000,Ctpy_1,124.239999999999,124.249999999999,2,1,124.019999999999
30,25030,Bond_0,Offer,1000,Ctpy_2,97.400000000001,97.410000000001,1,0,97.480000000001
31,25031,Bond_0,Offer,10000000,Ctpy_1,97.480000000001,97.920000000001,4,0,97.590000000001
32,25032,Bond_0,Bid,570000,Ctpy_3,97.590000000001,97.580000000001,3,1,97.530000000001
33,25033,Bond_0,Offer,1000,Ctpy_3,97.530000000001,97.570000000001,1,0,97.560000000001
34,25034,Bond_0,Bid,10000000,Ctpy_3,97.560000000001,97.560000000001,4,1,97.370000000001
35,25035,Bond_0,Bid,1000,Ctpy_1,97.370000000001,97.360000000001,3,1,97.350000000001
36,25036,Bond_0,Bid,1680000,Ctpy_1,97.350000000001,97.000000000001,3,0,97.350000000001
37,25037,Bond_0,Bid,1000,Ctpy_1,97.350000000001,97.330000000001,1,0,97.320000000001
38,25038,Bond_2,Offer,1000,Ctpy_3,124.209999999999,124.229999999999,2,1,124.289999999999
39,25039,Bond_1,Offer,30000,Ctpy_1,171.899999999999,171.979999999999,1,0,172.279999999999
40,25040,Bond_0,Offer,1000,Ctpy_1,97.370000000001,97.380000000001,1,1,97.320000000001
41,25041,Bond_2,Bid,10000000,Ctpy_3,124.269999999999,124.239999999999,3,1,124.459999999999
42,25042,Bond_2,Bid,1000,Ctpy_3,124.459999999999,124.439999999999,4,1,124.709999999999
43,25043,Bond_2,Bid,1000,Ctpy_0,124.709999999999,124.659999999999,4,0,124.619999999999
44,25044,Bond_0,Bid,1000,Ctpy_3,97.480000000001,97.470000000001,1,1,97.430000000001
45,25045,Bond_0,Bid,1000,Ctpy_3,97.430000000001,97.370000000001,1,0,97.410000000001
46,25046,Bond_2,Offer,1000,Ctpy_3,124.579999999999,124.639999999999,1,0,124.579999999999
47,25047,Bond_0,Bid,20000,Ctpy_1,97.480000000001,97.480000000001,3,1,97.400000000001
48,25048,Bond_2,Offer,1000,Ctpy_2,124.519999999999,124.539999999999,2,0,124.619999999999
49,25049,Bond_2,Offer,1000,Ctpy_1,124.619999999999,124.649999999999,1,0,124.419999999999
50,25050,Bond_0,Offer,20000,Ctpy_3,97.490000000001,97.500000000001,1,1,97.340000000001
51,25051,Bond_2,Offer,1000,Ctpy_3,124.219999999999,124.239999999999,2,1,124.429999999999
52,25052,Bond_0,Bid,1000,Ctpy_1,97.470000000001,97.460000000001,1,1,97.270000000001
53,25053,Bond_2,Offer,10000000,Ctpy_1,124.709999999999,124.789999999999,2,0,124.609999999999
54,25054,Bond_2,Bid,1000,Ctpy_2,124.609999999999,124.489999999999,1,0,124.599999999999
55,25055,Bond_2,Offer,1000,Ctpy_3,124.599999999999,124.609999999999,2,1,124.669999999999
56,25056,Bond_0,Offer,20000,Ctpy_0,97.200000000001,97.210000000001,1,1,97.210000000001
57,25057,Bond_2,Offer,1000,Ctpy_0,124.409999999999,124.449999999999,3,0,124.419999999999
58,25058,Bond_0,Offer,20000,Ctpy_1,97.240000000001,97.250000000001,2,1,97.260000000001
